id;starttime;endtime;description;type;subtype;street;polyline;direction
20250527T213126_5475_1117;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_A6A;48.8193383234833362 2.3295449259746164 48.8195213645606572 2.3283571585704648;ONE_DIRECTION
20250527T213126_5509_1511;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Bercy_bretelle_8;48.8274341447675155 2.3902547079534395 48.8273135617467275 2.3902097639364053 48.8271233015307686 2.3901007693250804 48.8269395238267947 2.3898627176130711;ONE_DIRECTION
20250527T213126_984_2458;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Bercy_bretelle_1;48.8278445318062282 2.3937387491166744 48.8281068698049339 2.3927514819499298 48.8284252787736293 2.3919877396727895;ONE_DIRECTION
20250527T213126_1019_474;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Ivry;48.8197094031399033 2.3727356365692387 48.8192885465298048 2.3715587010770451;ONE_DIRECTION
20240617T083355_4869_807;2024-06-17T08:33:55+02:00;2025-12-31T18:00:00+02:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8395474596011567 2.3950642247246505 48.8394672962685803 2.3942762534479076;ONE_DIRECTION
20240826T174434_4798_3315;2024-08-26T17:44:34+02:00;2025-08-29T18:00:00+02:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Av_Daumesnil;48.8385034488160272 2.3986519740289434 48.8391442883040696 2.3969012065446527 48.8393597685796124 2.3962847822825699;ONE_DIRECTION
20250527T213126_5466_342;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Bagnolet_bretelle_9;48.8686327264715672 2.4132132217576450 48.8668292592664528 2.4126667626650589 48.8658571357774463 2.4120508713163695;ONE_DIRECTION
20250526T101351_347_2294;2025-05-26T10:13:51+02:00;2025-05-28T08:00:00+02:00;Manifestation des Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Bd_Raspail;48.8515670235665596 2.3269220709438692 48.8517215201290398 2.3268733855546548;ONE_DIRECTION
20250527T213126_787_2606;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Gentilly_bretelle_2;48.8164416020330378 2.3464759420050219 48.8166047583673901 2.3446059060072493 48.8168318037970579 2.3441196756931317;ONE_DIRECTION
20250527T213126_827_710;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Italie_bretelle_2;48.8163500450511521 2.3605027139783417 48.8163663199988846 2.3601019042062652;ONE_DIRECTION
20241003T082352_282_569;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8637319223259254 2.3320446920555993 48.8643927447054551 2.3300736682310164;ONE_DIRECTION
20250527T213126_5315_2867;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Arts_Metiers;48.8168255537023867 2.3380292043707138 48.8168232209683666 2.3369216330884162 48.8168499085390692 2.3362267683834133 48.8168830484088900 2.3359509712735402 48.8169422633981327 2.3356497418456583 48.8170239670348138 2.3353687897560160 48.8171707013938558 2.3350161204940960 48.8181344332710339 2.3335358755758850 48.8186323547036096 2.3325225326753816 48.8195213645606572 2.3283571585704648;ONE_DIRECTION
20250527T213126_5332_1636;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Montreuil;48.8562058992383896 2.4139466924975097 48.8550290848188808 2.4137682802616567 48.8543928269420604 2.4138001610246911 48.8537569926508795 2.4139185907513010 48.8532520028078210 2.4140973644011714 48.8519502277654283 2.4148538286474892;ONE_DIRECTION
